Название;Широта;Долгота;Номера маршрутов
Ул. Комсомольская;64.556434;40.54617;5,75М,65,75
Ул. Комсомольская;64.556485;40.546235;5,75Б,65
Ул. Комсомольская;64.556369;40.540774;62,12
Ул. Кононова;64.501703;40.68836;44,64,41,42,43,5,7У
ул. Красной Звезды;64.522414;40.61727;7У,42,5,64,43,44,41,4,15
ул. Красной Звезды;64.52181;40.619491;42,64,7У,44,5,43,41,4,15
ул. Краснофлотская;64.575989;40.517728;60,44,9,10,1,43,5,69,65,70,89,61
ул. Краснофлотская;64.576394;40.517106;44,1,9,5,10,60,69,70,89,65,43,61
ул. Краснофлотская;64.573921;40.510347;42,61,7У,6,7,65
ул. Краснофлотская;64.573879;40.510347;7У,7,6,42,61,65
Ул. Красных Маршалов;64.596381;40.5865;60,10,63
ул. Красных партизан;64.583938;40.513244;10,43,60,44,1,69,65,70,89,9
ул. Красных партизан;64.582639;40.513351;60,69,44,10,65,70,89,9,1
Ул. Кузьмина;64.668247;40.519573;69,9
Ул. Кузьмина;64.668269;40.519544;9,69,89,70,63
Ул. Кутузова;64.592405;40.586264;63,60,10
ул. Логинова;64.548173;40.518715;76,1,9,60,75Б,61,6,42,44,43
ул. Логинова;64.547979;40.51849;60,44,9,42,6,61,1,43,76К,90
ул. Логинова;64.549427;40.524938;75М,62,70,12,65
Ул. Логинова;64.547186;40.53748;5,75М,65,75
Ул. Логинова;64.548011;40.53792;5,65,75Б
Ул. Магистральная;64.429016;40.613923;3,23,83
ул. Магистральная;64.429005;40.613945;23,3,83
ул. Малиновского;64.598439;40.595276;60,63,10
ул. Маяковского;64.58059;40.513608;10,60,44,1,43,69,65,70,89,9,90
ул. Маяковского;64.579485;40.514086;44,60,69,10,1,65,89,43,9
ул. Мещерского;64.590448;40.511495;69,10,60,44,65,89,70,9
ул. Мещерского;64.589734;40.511699;60,44,10,65,69,70,89,9
ул. Мещерского;64.590467;40.521689;5,9,61
ул. Мещерского;64.589509;40.521773;9
Ул. Мостостроителей;64.501786;40.708863;41
Ул. Мостостроителей;64.501717;40.708508;
ул. Никитова;64.510084;40.670056;5,42,64,7У,43,44,41
ул. Никитова;64.510251;40.670207;64,44,41
ул. Никитова;64.50755;40.665722;43
ул. Октябрят;64.526203;40.591232;41,44,61,42,43,4,7У,65,90
ул. Октябрят;64.525958;40.594611;43,42,44,7У,41,61,4
Ул. Октябрят;64.531998;40.596789;62,64,5,65,15
Ул. Октябрят;64.531809;40.598516;64,5,65,62,15
Ул. Орджоникидзе;64.594333;40.579805;60,1
Ул. Павла Усова;64.533668;40.579762;65,5,64,62,15
Ул. Павла Усова;64.533668;40.579505;5,65,64,62,15
ул. Папанина;64.514364;40.669091;44,64,41,15,4
ул. Папанина;64.513649;40.667578;44,64,4,15,43,41
Ул. Партизанская;64.599585;40.590212;
ул. Первомайская;64.525178;40.602357;44,42,7У,61,4,43,41,7,65,7РЈ,90
ул. Первомайская;64.525391;40.60093;44,42,61,4,7У,43,41,7
Макси;64.525178;40.602357;44,42,7У,61,4,43,41,7,65,7РЈ,90
Макси;64.525391;40.60093;44,42,61,4,7У,43,41,7
Ул. Полины Осипенко;64.529908;40.617657;61,5,64,15,65,90
Ул. Полины Осипенко;64.528935;40.616165;5,64,61,15
ул. Поморская;64.535038;40.522304;61,1,60,42,62,54,43,76К,4,44,9,12,41,11,70,76,90
ул. Поморская;64.534249;40.524724;9,42,75Б,44,61,4,43,76,62,41,60,1,54,12,11К
ул. Поморская;64.537434;40.528306;75М,75,65
Ул. Попова;64.545973;40.533457;62,12
Ул. Розы Люксембург;64.537935;40.552833;65,5,75Б
Ул. Розы Люксембург;64.537829;40.553509;5,75М,65
ул. Русанова;64.504622;40.684369;64,44,41
ул. Русанова;64.505467;40.682877;41,42,64,44,43,5,7У,7
ул. Русанова;64.503324;40.67571;7У,43,42,5,7
ул. Русанова;64.501987;40.67976;43
Ул. Садовая;64.549169;40.535334;62,12
ул. Северодвинская;64.531419;40.550891;75М,65
ул. Силикатчиков;64.482206;40.773836;43,64
ул. Суворова;64.559444;40.524724;43,44,6,76,1,42,61,75Б,60,9
ул. Суворова;64.559854;40.524777;44,76К,9,42,1,61,43,6,60,90
Ул. Сурповская;64.514223;40.559922;3,83,23
ул. Таймырская;64.571415;40.524283;44,5,10,9,69,1,60,65,43,89,70,61
ул. Таймырская;64.571217;40.524198;69,65,43,7,61,10,60,44,6,7У,5,9,70,42,1,89
ул. Таймырская;64.571524;40.522344;6,61,42,7,7У
ул. Терехина;64.57849;40.516516;5,9,61
ул. Терехина;64.578412;40.516216;9,5,61
ул. Тимме;64.547951;40.560354;4,54,7,6,41,11
ул. Тимме;64.54874;40.561234;10,7У,70,69,7,83,62,81,90
Ул. Тяговая;64.442155;40.612957;3,23,83
Ул. Тяговая;64.442095;40.612915;3,23,83
ул. Урицкого;64.527352;40.555569;44,62,42,1,41,76К,61,4,43,3,11,23,90
Ул. Федора Абрамова;64.526854;40.613923;5,61,64,15,65,90
Ул. Федора Абрамова;64.525963;40.612593;5,64,61,15
Ул. Химиков;64.595953;40.592959;60,63,10
ул. Челюскинцев;64.581599;40.504757;42,61,7У,6,7,65
ул. Челюскинцев;64.582216;40.504875;6,61,7У,42,7,65
ул. Шубина;64.556628;40.523275;9,60,61,75Б,1,76,6,44,42,43
ул. Шубина;64.555825;40.522664;60,44,61,6,76К,43,1,42,9,76,90
Ул. Шубина;64.555217;40.528307;62,12,70,75М,65,75
Универмаг;64.529622;40.348341;31,81
Универмаг;64.529474;40.347955;31,81
Университетская библиотека;64.528385;40.568346;4,42,7У,61,44,43,41,65,7,90
Университетская библиотека;64.528434;40.56846;7У,43,41
УПТК;64.523619;40.697082;4
УПТК;64.524025;40.696321;4
Усть-Двинская;64.591804;40.521553;9
Усть-Двинская;64.591226;40.521623;
Фактория;64.499643;40.689765;43,64,44,41
Фактория;64.499888;40.688531;41,42,64,44,43,5,7У
Фактория;64.500356;40.686747;5,42,43
Ферма;64.595944;40.618773;12,18
Ферма;64.595005;40.617142;12,18
Химкомбинат;64.500308;40.587519;3,23,83
Химкомбинат;64.499662;40.588657;3,83,23
Хлебокомбинат;64.495084;40.594794;3,23,83
Хлебокомбинат;64.495684;40.594203;3,83,23
Часовня;64.612095;40.525174;44,9,69,65,70,63,89
Часовня;64.611708;40.524745;9,69,65,44,70,63,89
Швейная фабрика;64.555563;40.554957;69,7У,76,7,62,10,83,70,180,81,90
Швейная фабрика;64.553719;40.555644;10,7У,62,69,83,7,81
Школа;64.453752;40.633568;3,83,23
Школа;64.453637;40.632312;3,23,83
Школа №25;64.531906;40.610758;5,65,64,15,62
Школа №25;64.531772;40.608226;5,64,65,62,15
Школа №55;64.656549;40.539229;69,89,9,70,63
Школа №55;64.655954;40.539049;9,69,70
Школа №59;64.682043;40.502322;9,69,89,70,63
Школа №59;64.682915;40.501785;
Школа №82;64.454018;40.636883;
Школа №95;64.511834;40.648416;42,5,7У,44,43,64,41,4,15
Школа №95;64.511622;40.648813;44,7У,64,5,43,42,41,15,4,7
АОКОД;64.565236;40.551073;
прз. Бадигина;64.559291;40.553326;76К
ул. Розинга;64.559729;40.557156;76К
Детская областная больница;64.536089;40.562907;5,65
ул. Зеньковича;64.47112;40.608869;15
пос. Геологов;64.522335;40.707065;
СОТ Ягодник;64.523237;40.714221;4
Станция скорой помощи;64.55541;40.564956;
Станция скорой помощи;64.554359;40.567531;76
ЖД вокзал;64.550611;40.570862;
